frame,timestamp,trunk_sagittal_tilt_deg,trunk_lateral_tilt_deg,pelvic_obliquity_deg,pelvic_tilt_sagittal_deg,pelvis_yaw_deg,shoulder_yaw_deg,pelvis_shoulder_dissociation_deg,hip_flex_R_deg,hip_flex_L_deg,knee_flex_R_deg,knee_flex_L_deg,ankle_dorsi_R_deg,ankle_dorsi_L_deg,hip_rotation_index_deg,shoulder_rotation_index_deg
120,3.999,-6.0761,-178.2242,-177.9704,-56.8185,-177.9704,-178.2242,-0.2538,1.2427,9.4073,172.9824,172.858,176.454,167.4831,-8.1647,-0.2538
121,4.0323,-5.4722,-178.2973,-178.5538,-61.1571,-178.5538,-178.2973,0.2565,1.7489,9.4065,172.4293,172.5986,176.716,166.429,-7.6576,0.2565
122,4.0656,-4.2535,-178.4445,-178.8207,-60.6501,-178.8207,-178.4445,0.3762,2.527,8.9863,171.5687,171.6882,177.0594,165.4839,-6.4593,0.3762
123,4.099,-3.7919,-178.6473,-178.7175,-61.5308,-178.7175,-178.6473,0.0701,3.9852,8.2314,170.0818,170.1542,177.7025,164.5386,-4.2462,0.0701
124,4.1323,-3.4657,-178.8288,-178.8566,-61.3911,-178.8566,-178.8288,0.0278,4.5172,6.449,170.635,167.2666,178.1733,163.8154,-1.9317,0.0278
125,4.1656,-3.6847,-178.9669,-178.71,-60.8611,-178.71,-178.9669,-0.2568,5.6863,4.7424,170.1165,164.3158,178.3266,163.2343,0.9439,-0.2568
126,4.1989,-4.0207,-179.0301,-178.6664,-60.5187,-178.6664,-179.0301,-0.3637,6.4735,3.1478,169.7793,162.3945,179.1393,162.8067,3.3258,-0.3637
127,4.2323,-4.1879,-179.2676,-178.8485,-61.1344,-178.8485,-179.2676,-0.4191,7.0731,1.9727,169.5272,162.1304,179.319,160.2842,5.1004,-0.4191
128,4.2656,-4.7535,-179.2659,-178.6785,-60.9396,-178.6785,-179.2659,-0.5874,8.0711,0.8551,168.5794,163.1447,179.7362,158.1782,7.216,-0.5874
129,4.2989,-5.264,-179.2659,-178.5693,-62.2071,-178.5693,-179.2659,-0.6966,8.6033,0.4118,168.1845,164.7047,179.8735,156.3887,8.1916,-0.6966
130,4.3322,-5.5031,-179.0363,-178.1653,-61.2503,-178.1653,-179.0363,-0.871,8.2717,0.8869,169.3694,167.9732,178.0888,160.5485,7.3848,-0.871
131,4.3656,-5.7579,-178.9781,-178.0468,-57.5665,-178.0468,-178.9781,-0.9313,7.8814,0.9798,170.273,170.1228,176.9291,158.4712,6.9015,-0.9313
132,4.3989,-6.3663,-178.9977,-177.8768,-57.7272,-177.8768,-178.9977,-1.121,7.6679,0.7374,170.7393,172.3415,176.2179,160.0558,6.9305,-1.121
133,4.4322,-6.6442,-179.0446,-178.297,-52.0155,-178.297,-179.0446,-0.7477,7.5908,0.1115,171.326,175.0772,174.3647,166.7523,7.4793,-0.7477
