frame,timestamp,hip_center_x,hip_center_y,ankle_L_x,ankle_L_y,ankle_R_x,ankle_R_y,foot_index_L_x,foot_index_R_x
271,9.0311,0.5827,0.8745,0.5785,1.3164,0.5844,1.2911,0.494,0.6309
272,9.0644,0.5812,0.8737,0.5837,1.3179,0.6037,1.2953,0.4912,0.6307
273,9.0977,0.5818,0.8701,0.5811,1.3137,0.6179,1.289,0.4911,0.632
274,9.131,0.584,0.8633,0.579,1.3046,0.621,1.2907,0.4892,0.6383
275,9.1644,0.5824,0.8621,0.586,1.295,0.6167,1.2837,0.4863,0.638
276,9.1977,0.5827,0.856,0.5878,1.2833,0.6168,1.2728,0.4867,0.6382
277,9.231,0.5855,0.8579,0.5852,1.2848,0.6289,1.2764,0.4871,0.6434
278,9.2643,0.5866,0.8574,0.5836,1.2781,0.6292,1.2703,0.4869,0.6457
279,9.2977,0.5908,0.8568,0.5825,1.2747,0.6297,1.2643,0.4871,0.6539
280,9.331,0.5943,0.8552,0.582,1.2627,0.6285,1.2596,0.4873,0.6608
281,9.3643,0.6027,0.8471,0.5814,1.2584,0.6266,1.2589,0.4921,0.6729
282,9.3976,0.6072,0.8449,0.5811,1.2582,0.625,1.2599,0.4992,0.6748
283,9.431,0.6112,0.8459,0.5808,1.2458,0.6291,1.2412,0.5039,0.6781
284,9.4643,0.6174,0.8448,0.5822,1.2449,0.6406,1.2409,0.5106,0.6838
285,9.4976,0.6271,0.84,0.5847,1.2375,0.6535,1.2346,0.5196,0.6941
286,9.5309,0.6351,0.8314,0.5857,1.232,0.6539,1.2317,0.5286,0.7011
287,9.5643,0.6443,0.834,0.5883,1.2089,0.6685,1.2125,0.5362,0.7119
288,9.5976,0.6507,0.8333,0.5609,1.1855,0.6701,1.2051,0.5436,0.7172
289,9.6309,0.6594,0.8309,0.5548,1.1865,0.6753,1.2024,0.5522,0.7261
290,9.6642,0.6615,0.8314,0.5507,1.1766,0.6869,1.1964,0.5546,0.7279
291,9.6976,0.6659,0.8285,0.553,1.1791,0.6942,1.1877,0.56,0.7313
292,9.7309,0.6675,0.8251,0.5535,1.1545,0.6976,1.1683,0.5614,0.733
293,9.7642,0.6703,0.8249,0.5471,1.1423,0.6996,1.1564,0.5656,0.7346
294,9.7975,0.6728,0.8254,0.5489,1.1415,0.6991,1.1611,0.5685,0.7366
295,9.8309,0.6769,0.8239,0.5501,1.1433,0.6976,1.1596,0.5731,0.7402
296,9.8642,0.6769,0.8242,0.5512,1.1457,0.6965,1.1572,0.5745,0.7389
297,9.8975,0.6764,0.8245,0.5595,1.1516,0.6953,1.1584,0.5739,0.7384
298,9.9308,0.6759,0.8232,0.5673,1.1506,0.6965,1.1533,0.5737,0.7376
299,9.9642,0.6749,0.8219,0.5632,1.115,0.6959,1.1571,0.5723,0.7369
300,9.9975,0.671,0.8196,0.5634,1.1123,0.7005,1.1369,0.5675,0.7339
301,10.0308,0.6678,0.8121,0.5641,1.1079,0.6997,1.1232,0.5638,0.7314
302,10.0641,0.6577,0.8049,0.5569,1.0947,0.7018,1.0589,0.5561,0.7187
